Property Name,Purchase Entire Building?,Zoning,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
Gateway Commons Commercial Condo,Y,C1-1,On-Market,"Office, Retail",2301 W Belmont Ave,Chicago,IL,60618,Vacant,5,,3100,$161.29 ,2,,,,"$500,000.00 ",143,No,-87.68579536,41.93946877
"Chicago - 2139 W Irving Park Road  For Sale - 2,430",Y,B1-1,On-Market,"Mixed Use, Office, Retail",2139 W Irving Park Rd,Chicago,IL,60618,Vacant,,,2430,$946.50 ,,,,,"$2,300,000.00 ",262,No,-87.6826684,41.9538677
5924 W Lawrence Avenue,Y,Rtail,On-Market,"Retail, Office, Mixed Use",5924 W Lawrence Avenue,Chicago,IL,60630,Vacant,,,2000,,,,,,"$314,000.00 ",866,No,-87.7758336,41.9678632
Turn-Key RetailOffice Space for Sale or Lease in Lakeview,Y,C1-2,On-Market,"Office, Retail",2048 W Belmont Ave Unit 1,Chicago,IL,60618,Vacant,,,1650,,1,,,,"$410,000.00 ",38,No,-87.68022727,41.93954337
1933 S State,Y,DX-5,On-Market,Office,1933 S State St,Chicago,IL,60616,Vacant,,,1400,$321.43 ,,,,,"$450,000.00 ",557,No,-87.6268289,41.8556429
Rare C2-2 Zoned Commercial Condo,Y,C2-2,On-Market,"Office, Retail",1138 N Milwaukee Ave,Chicago,IL,60642,Vacant,,,1250,,1,,,,"$325,000.00 ",163,No,-87.66503888,41.90245669
1443 W. Belmont  Lakeview  Commercial Condo For SALE,Y,B3-2,On-Market,"Office, Retail",1443 W Belmont Ave,Chicago,IL,60657,Vacant,,,1200,,1,,,,"$259,000.00 ",13,No,-87.66560286,41.93976626
4704 N Kenmore,Y,b3-3,On-Market,Office,4704 N Kenmore Ave,Chicago,IL,60640,Single,,,1200,,12,,,,"$189,000.00 ",39,No,-87.6566456,41.9675504
1419 W. Belmont  Lakeview  Commercial Condo,Y,B3-2,On-Market,"Office, Retail",1419 W Belmont Ave,Chicago,IL,60657,Vacant,,,900,,1,,,,"$279,000.00 ",13,No,-87.66475549,41.93977941
1331 S Michigan Avenue,Y,DX-7,On-Market,"Retail, Office, Mixed Use",1331 S Michigan Avenue,Chicago,IL,60605,Vacant,,,,,,,,,"$1,499,000.00 ",1336,No,-87.6236706,41.8648464
Chinatown RestaurantRetail Space Unit 112,Y,PMD,On-Market,"Office, Retail",2244 S Canal St,Chicago,IL,60616,Vacant,,,,,112113,,,,"$599,000.00 ",53,No,-87.63862748,41.85145422
