Property Name,Purchase Entire Building?,Vacant?,Zoning,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
The Shoppes of Edgebrook,Y,N,,On-Market,"Mixed Use, Office, Retail",5400 W Devon Ave,Chicago,IL,60646,Multi,,,17710,$166.57 ,9,,"$259,934.00 ",8.81%,"$2,950,000.00 ",564,No,-87.763895,41.997635
51stMichigan,Y,Y (2nd floor),B3-3,On-Market,"Land, Mixed Use, Office, Retail","100-116 E. 51st St, Chicago IL",Chicago,IL,60615,Multi,,,17500,$71.43 ,6,,"$101,865.00 ",8.15%,"$1,250,000.00 ",364,No,-87.62249784,41.80203361
"1348 W Concord Pl , Chicago, IL 60622",Y,Y (2-3 floors),M3-3,On-Market,Office,1348 W Concord Pl,Chicago,IL,60642,Single,,,17250,$200.00 ,3,,,,"$3,450,000.00 ",105,No,-87.66233661,41.91193615
"6600 N Clark St, Chicago, IL 60626",Y,N,C2-2,On-Market,"Mixed Use, Multifamily, Retail",6600 N Clark St,Chicago,IL,60626,Multi,,,15450,$129.45 ,12,,"$111,551.00 ",5.58%,"$1,999,999.00 ",316,No,-87.672252,42.001854
6235-6243 N Western Avenue,Y,N,B3-2,On-Market,"Retail, Multifamily, Mixed Use",6235 N Western Ave,Chicago,IL,60659,Multi,,,15000,$146.00 ,17,"$128,824.00 ","$171,421.00 ",7.83%,"$2,190,000.00 ",40,No,-87.6896117,41.9951239
601 W Randolph,Y,N,DX-7,On-Market,"Mixed Use, Office",601 W Randolph St,Chicago,IL,60661,Multi,,,14800,,,,"$486,793.00 ",7.16%,"$6,800,000.00 ",39,No,-87.64284675,41.88444307
100 Leased Office Property For Sale,Y,N,,On-Market,Office,7000 W North Ave,Chicago,IL,60707,Multi,,,14005,$96.39 ,19,,,,"$1,350,000.00 ",277,No,-87.80035731,41.90901847
"755 North Wells Street  River North  Chicago, IL",Y,N,,On-Market,"Mixed Use, Office, Retail",755 N Wells St,Chicago,IL,60654,Multi,,,13434,$617.84 ,6,,"$623,096.00 ",7.51%,"$8,300,000.00 ",136,No,-87.6338435,41.8964038
5257 S Ashland Ave,Y,N,C1-2 Commercial,On-Market,"Retail, Office",5257 S Ashland Ave,Chicago,IL,60609,Multi,,9,12901,,,,"$271,144.00 ",7.40%,"$3,750,000.00 ",648,Yes,-87.6643736,41.7982995
Jefferson Park,Y,Y,B3-1,On-Market,Office,5960 N Milwaukee Ave,Chicago,IL,60646,Multi,,,12800,,,,,,"$2,500,000.00 ",80,No,-87.7811506,41.9899494
2954 N Sheffield Avenue - Retail  Medical Offering,Y,N,,On-Market,"Mixed Use, Office, Retail",2954 N Sheffield Ave,Chicago,IL,60657,Multi,,,12291,$480.03 ,6,"$983,333.33 ","$450,633.00 ",7.64%,"$5,900,000.00 ",320,No,-87.6541473,41.9360565
