Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
6120-22 N Hamilton Ave.  6128-34 N Hamilton Ave. properties,On-Market,Multifamily,6120 N Hamilton Ave,Chicago,IL,60659,N/A,,,13374,$186.74 ,15,"$166,500.00 ","$174,800.00 ",7.00%,"$2,497,500.00 ",216,No,-87.6837675,41.9925921
East Village Two Units for Sale With Med-Spa,On-Market,"Mixed Use, Multifamily",848 N Ashland Ave,Chicago,IL,60622,Multi,,0.7,2100,$333.33 ,2,,"$70,064.00 ",10.01%,"$699,999.00 ",523,No,-87.66764264,41.89755083
Bronzeville 45 Portfolio,On-Market,Multifamily,4201 S Michigan Ave,Chicago,IL,60653,N/A,,,61898,$163.58 ,45,"$225,000.00 ","$712,879.00 ",7.04%,"$10,125,000.00 ",76,No,-87.6227986,41.8181597
New Construction in Humbolt Park,On-Market,Multifamily,1052 N Central Park Ave,Chicago,IL,60651,N/A,,,3900,,3,,,,"$949,000.00 ",14,Yes,-87.7168634,41.9006269
932-946 W 59th St,On-Market,Industrial,932 W 59th St,Chicago,IL,60621,N/A,,,2000,$100.00 ,,,,,"$200,000.00 ",230,Yes,-87.6488539,41.7871691
3596 N. Milwaukee Ave,On-Market,"Retail, Office, Industrial",3596 N. Milwaukee Ave,Chicago,IL,60641,N/A,,,4555,,,,,,"$869,000.00 ",102,No,-87.7357129,41.9460798
Prime Retail Space in High-Traffic East Lakeview,On-Market,Retail,3418 N Sheffield Ave,Chicago,IL,60657,Single,5,5,1150,,,,,,"$359,900.00 ",8,No,-87.65426228,41.94412679
1106 West Newport,On-Market,Multifamily,1106 W Newport Ave,Chicago,IL,60657,N/A,,,,,24,,,,"$12,150,000.00 ",19,No,-87.65701657,41.94443463
225 W. Superior,On-Market,Office,225 W Superior St,Chicago,IL,60654,Vacant,,,56000,$141.07 ,,,,,"$7,900,000.00 ",281,No,-87.635156,41.89557685
Elston Industrial Portfolio,On-Market,Industrial,3021 N Elston Ave,Chicago,IL,60618,Vacant,,,33000,,,,,,,393,No,-87.693347,41.936343
5841 W Dickens Ave,On-Market,Industrial,5841 W Dickens Ave,Chicago,IL,60639,N/A,,,93911,,,,,,,166,No,-87.7721715,41.9174878
Western-Howard Plaza,On-Market,Retail,2341 W Howard St,Chicago,IL,60645,Multi,,5,11974,$208.79 ,3,,"$183,905.00 ",7.36%,"$2,500,000.00 ",104,No,-87.6894644,42.0193564
44 W Lincoln Hwy,On-Market,"Mixed Use, Office, Retail",44 W Lincoln Hwy,Chicago Heights,IL,60411,Single,,,6600,$138.64 ,,,,9.50%,"$915,000.00 ",227,No,-87.6434329,41.5058325
1748 W North Ave,On-Market,"Mixed Use, Multifamily",1748 W North Ave,Chicago,IL,60622,Multi,,,8600,$430.23 ,7,"$528,571.43 ","$241,353.00 ",6.52%,"$3,700,000.00 ",337,No,-87.67203279,41.9105992
1320 N. Cicero Ave,On-Market,Industrial,1320 N Cicero Ave,Chicago,IL,60651,N/A,,,5500,,,,,,"$499,000.00 ",796,No,-87.7463786,41.9048603
Auto Dealership,On-Market,Special Purpose,2435 N Cicero Ave Chicago IL 60639,Chicago,IL,60639,Single,,,12000,,1,,,,"$1,499,000.00 ",206,No,-87.745961,41.9255777
WEST LOOP REDEVELOPMENT OPPORTUNITY,On-Market,"Office, Retail",565 W Randolph St,Chicago,IL,60661,Multi,,,59981,$273.00 ,,"$290,984.00 ","$439,360.00 ",,,91,No,-87.6425647,41.8843207
"Chicago - 2139 W Irving Park Road  For Sale - 2,430",On-Market,"Mixed Use, Office, Retail",2139 W Irving Park Rd,Chicago,IL,60618,Vacant,,,2430,$946.50 ,,,,,"$2,300,000.00 ",257,No,-87.6826684,41.9538677
2036 W Roscoe Street,On-Market,Retail,2036 W Roscoe St,Chicago,IL,60618,Vacant,,,2000,,,,,,,320,No,-87.67992194,41.94321577
Renovated 6 cap Multifamily,On-Market,Multifamily,1615 W Highland Ave,Chicago,IL,60660,N/A,,,12751,,13,"$251,538.46 ",,,"$3,270,000.00 ",361,No,-87.67095455,41.99681261
4027 Broadway,On-Market,Multifamily,4027 N Broadway,Chicago,IL,60613,N/A,,,,,21,"$404,761.90 ","$545,410.00 ",6.42%,"$8,500,000.00 ",36,No,-87.6506739,41.955387
"560 W Lake St - 1st, 5th, 6th, 7th Floors",On-Market,Office,560 W Lake St,Chicago,IL,60661,N/A,,,57863,,,,,,,147,No,-87.6422865,41.8858496
4711 N Lamon Ave,On-Market,"Office, Industrial",4711 N Lamon Ave,Chicago,IL,60630,Multi,,,41432,$102.58 ,,,,,"$3,999,000.00 ",167,No,-87.7497972,41.9662239
5144-5152 W Chicago Avenue,On-Market,Special Purpose,5144-5152 W Chicago Avenue,Chicago,IL,60651,N/A,,,,,0,,,,"$3,200,000.00 ",35,No,-87.754965,41.895244
Single Tenant Retail on Busy Archer Ave Offered at a 10 Cap,On-Market,Retail,4269 S Archer Ave,Chicago,IL,60632,N/A,,,6000,$75.00 ,,,,,"$450,000.00 ",1505,No,-87.7012334,41.8157919
1458 W Taylor St,On-Market,"Mixed Use, Retail",1458 W Taylor St,Chicago,IL,60607,N/A,,,,,6,,"$221,360.00 ",7.09%,"$3,120,000.00 ",1,No,-87.6639124,41.8694692
The Shoppes of Edgebrook,On-Market,"Mixed Use, Office, Retail",5400 W Devon Ave,Chicago,IL,60646,Multi,,,17710,$166.57 ,9,,"$259,934.00 ",8.81%,"$2,950,000.00 ",560,No,-87.763895,41.997635
Lincoln Park Mews,On-Market,Multifamily,1810 N Wells St,Chicago,IL,60614,N/A,,,22771,$754.69 ,18,"$958,333.00 ","$887,745.00 ",5.15%,"$17,250,000.00 ",188,No,-87.63487882,41.91531146
2210-2216 South Michigan Ave,On-Market,"Mixed Use, Office, Retail",2210 S Michigan Ave,Chicago,IL,60616,Multi,,,22737,,6,,"$479,168.00 ",,,1832,Yes,-87.624271,41.8524303
4537 N. Clark St,On-Market,"Retail, Office",4537 N Clark St,Chicago,IL,60640,N/A,,,,$11.00 ,,,,,"$749,000.00 ",159,No,-87.6664858,41.9646379
Luxury Corporate Housing Business for sale,On-Market,Special Purpose,9.9 Luxury Housing,Chicago,IL,60601,N/A,,,,,,,,,"$9,900,000.00 ",364,No,-87.6197056,41.8839927
"755 North Wells Street  River North  Chicago, IL",On-Market,"Mixed Use, Office, Retail",755 N Wells St,Chicago,IL,60654,Multi,,,13434,$617.84 ,6,,"$623,096.00 ",7.51%,"$8,300,000.00 ",131,No,-87.6338435,41.8964038
9826 Sayre Ave,On-Market,Multifamily,9826 Sayre Ave,Chicago Ridge,IL,60415,N/A,,,24831,$148.78 ,18,"$136,111.11 ",,6.91%,"$2,450,000.00 ",165,Yes,-87.7943954,41.7127728
601 W Randolph,On-Market,"Mixed Use, Office",601 W Randolph St,Chicago,IL,60661,Multi,,,14800,,,,"$486,793.00 ",7.16%,"$6,800,000.00 ",34,No,-87.64284675,41.88444307
1435 W Lexington Street,On-Market,Multifamily,1435 W Lexington St,Chicago,IL,60607,N/A,,,,,6,,"$108,220.00 ",7.21%,"$1,500,000.00 ",196,No,-87.66310125,41.87251131
"For Sale or Lease 812 N. Dearborn Street, Chicago, IL",On-Market,"Mixed Use, Office, Retail",812 N Dearborn St,Chicago,IL,60610,N/A,,,10084,,,,,,,76,No,-87.62976464,41.89708817
"2200 N Cicero Ave, Chicago, IL 60639",On-Market,Retail,2200 N Cicero Ave,Chicago,IL,60639,Vacant,,,1500,,,,,,"$2,500,000.00 ",10,No,-87.7465509,41.9209697
3135 N Clybourn,On-Market,Retail,3135 N Clybourn Ave,Chicago,IL,60618,Multi,,0.1,15625,$268.80 ,2,,,,"$4,200,000.00 ",1107,No,-87.68719569,41.9388172
2241 S Wabash Avenue,On-Market,"Special Purpose, Land",2241 S Wabash Avenue,Chicago,IL,60616,N/A,,,,,0,,,,"$3,350,000.00 ",21,Yes,-87.6250414,41.8516494
5419-5421 W Madison St,On-Market,Retail,5419-5421 W Madison St,Chicago,IL,60644,Vacant,,,3000,,2,,,,"$434,900.00 ",33,No,-87.7609521,41.8801423
Wicker Park - Retail  Medical with 23-car parking,On-Market,"Mixed Use, Office, Retail",1455 N Milwaukee Ave,Chicago,IL,60622,Multi,,,,,2,,"$435,121.00 ",7.63%,"$5,700,000.00 ",130,No,-87.6739506,41.9083711
3100 W Montrose Avenue,On-Market,Special Purpose,3100 W Montrose Avenue,Chicago,IL,60618,N/A,,,4800,,0,,,,"$1,199,000.00 ",271,No,-87.7060494,41.9615461
Rehabbed 6-Unit in Bronzeville,On-Market,Multifamily,4543 S St Lawrence Ave,Chicago,IL,60653,N/A,,,,,6,"$233,333.33 ",,,"$1,400,000.00 ",367,Yes,-87.6112204,41.8118676
Verizon  10 Year Net Lease  Largest Verizon Franchisee,On-Market,Retail,6340 N Northwest Hwy,Chicago,IL,60631,Single,,10,2540,,,,"$130,983.00 ",6.00%,"$2,180,000.00 ",125,No,-87.8066042,41.9966841
738 W Randolph St,On-Market,Retail,738 W Randolph St,Chicago,IL,60607,N/A,,,8000,,,,,,,517,No,-87.650714,41.8733696
Yondorf Hall,On-Market,Office,758 W North Ave,Chicago,IL,60610,Multi,,,21469,$209.60 ,,,,,"$4,500,000.00 ",13,No,-87.64816001,41.91090028
"Absolute Net NNN Walgreens - California Ave Chicago, IL",On-Market,Retail,2744 N California Ave,Chicago,IL,60647,Single,25,9.2,12515,$591.29 ,,,"$555,000.00 ",7.50%,"$7,400,000.00 ",333,No,-87.69784321,41.93175687
845 W Chicago Avenue,On-Market,"Special Purpose, Land",845 W Chicago Avenue,Chicago,IL,60642,N/A,,,,,0,,,,"$11,900,000.00 ",35,No,-87.6495666,41.896187
1846 N. La Crosse Ave,On-Market,Industrial,1846 N. La Crosse Ave,Chicago,IL,60639,N/A,,,39464,,,,,,"$1,875,000.00 ",258,No,-87.7481465,41.9138143
Ground Floor Commercial Condo in Fulton River District,On-Market,Retail,291 N Union Ave,Chicago,IL,60661,Single,,,623,,1,,,,"$205,000.00 ",0,No,-87.6455872,41.88651194
TPAL - 4348-58 S Prairie218-224 E 44th,On-Market,Multifamily,4348 S Prairie Ave,Chicago,IL,60653,N/A,,,,,31,,"$602,514.00 ",6.35%,"$9,488,000.00 ",62,No,-87.61983636,41.81475335
1500 W Taylor - Little Italy Building For Sale w Parking,On-Market,Mixed Use,1500 W Taylor St,Chicago,IL,60607,N/A,,,15000,$266.67 ,,,,,"$4,000,000.00 ",289,No,-87.6643173,41.869504
New Construction 3-Unit in Washington Park,On-Market,Multifamily,5530 S Michigan Ave,Chicago,IL,60637,N/A,,,4200,,3,,,,"$1,050,000.00 ",13,Yes,-87.6228242,41.7933979
4507- 4533 N. Kedzie Ave,On-Market,"Retail, Industrial, Land",4507- 4533 N. Kedzie Ave,Chicago,IL,60625,N/A,,,,,,,,,"$2,999,000.00 ",1937,No,-87.708121,41.9640002
USA Off Market North 15 Trophy Hotels in USA for Sale,On-Market,Hospitality,N Columbus Dr,Chicago,IL,60601,N/A,,,,,,"$160,000.00 ","$999,999,999.00 ",12.50%,"$8,000,000,000.00 ",1304,No,-87.6205703,41.8867536
"Motor Row - 2337 S. Michigan Ave., Chicago, IL",On-Market,Retail,2337 S Michigan Ave,Chicago,IL,60616,N/A,,,8928,,,,,,"$2,799,000.00 ",10,Yes,-87.6237082,41.85007927
Niles Flex Bldg Class B For Sale,On-Market,"Industrial, Office, Retail",7400 N Milwaukee Ave,Niles,IL,60714,N/A,,,2340,,1,,,,"$499,000.00 ",8,No,-87.8048992,42.0156044
Midwest CNC Machine  Mold Business,On-Market,Business for Sale,12345,Chicago,IL,60660,Single,,0,4200,,1,,,,"$625,000.00 ",131,No,-87.663045,41.9901263
1329 W 18th St  Renovated Mixed-use,On-Market,"Mixed Use, Multifamily",1329 W 18th St,Chicago,IL,60608,Multi,,,7600,$201.97 ,6,,,,"$1,450,000.00 ",573,No,-87.66001213,41.85787404
Single Tenant Outdoor Storage Facility,On-Market,Industrial,3019 East End Ave,South Chicago Heights,IL,60411,Single,,,22364,$78.70 ,1,,,8.53%,"$1,760,000.00 ",166,No,-87.6326528,41.4829748
"Providence of God  4 Building Campus  Chicago, IL",On-Market,"Mixed Use, Multifamily, Special Purpose",717 W 18th St,Chicago,IL,60616,N/A,,,55515,,,,,,"$3,130,000.00 ",145,No,-87.64486759,41.85756388
"3 Assets Church, School  Parking Lot Available",On-Market,"Retail, Special Purpose",1800 S Union Ave,Chicago,IL,60616,N/A,,,40623,,3,,,,"$1,980,000.00 ",145,No,-87.64480405,41.85757599
Maxwell Express- 1056-58 W 87th St,On-Market,Retail,1058 W 87th St,Chicago,IL,60620,N/A,,,,,1,,,,"$250,000.00 ",382,Yes,-87.6507486,41.7361894
3824 N Clark Street,On-Market,"Mixed Use, Multifamily, Office, Retail",3824 N Clark St,Chicago,IL,60613,Multi,,,4686,$319.68 ,4,,"$109,828.00 ",7.33%,"$1,498,000.00 ",216,No,-87.66021103,41.9517681
3421-3433 W. 48th Place,On-Market,Industrial,3421-3433 W. 48TH PLACE,Chicago,IL,60632,N/A,,,53000,,,,,,,1345,No,-87.7097167,41.8051849
4515 North Ravenswood Avenue,On-Market,"Retail, Office",4515 N Ravenswood Ave,Chicago,IL,60640,Vacant,,,8000,,,,,,,52,No,-87.6736065,41.9639448
"Chicago - 3856 W 26th St  For Sale - 7,416 SF",On-Market,Retail,3856 W 26th St,Chicago,IL,60623,Vacant,,,7416,,,,,,,211,No,-87.7218364,41.8444801
Sherwin-Williams,On-Market,Retail,6012 S Archer Ave,Chicago,IL,60638,Single,20,5.1,5800,,,,"$129,773.00 ",6.50%,"$1,996,507.00 ",12,No,-87.7670285,41.7952915
2158 w. Grand ave. commercial condo SaleLease239k2500G,On-Market,"Office, Retail",2158 W Grand Ave,Chicago,IL,60612,N/A,,,1200,,,,,,"$239,000.00 ",29,No,-87.68170795,41.89075426
5734-48 S Ashland Ave,On-Market,"Retail, Land",5734-48 S Ashland Ave,Chicago,IL,60636,N/A,,,3740,,,,,,"$700,000.00 ",11,No,-87.664869,41.78931
501 s wells street,On-Market,"Hospitality, Mixed Use, Multifamily, Retail",501 S Wells St,Chicago,IL,60607,N/A,,,,,,,,,"$2,750,000.00 ",134,No,-87.63369579,41.87571173
"Chicago - 6335 N. Western Ave  For Sale - 9,090 SF",On-Market,"Office, Retail",6335 N Western Ave,Chicago,IL,60659,Vacant,,,9090,,,,,,"$2,500,000.00 ",105,No,-87.6895113,41.9968912
2701 N Kildare Ave,On-Market,Industrial,2701 N Kildare Ave,Chicago,IL,60639,Multi,,,203518,,,,,,,15,No,-87.7341138,41.9305003
2653-59 W. Division St,On-Market,"Retail, Mixed Use",2653-59 W. Division St,Chicago,IL,60622,N/A,,,17728,,12,,,,"$2,495,000.00 ",228,No,-87.6940522,41.9027429
5326 N Kedzie Ave,On-Market,Retail,5326 N Kedzie Ave,Chicago,IL,60625,N/A,,,,,,,,,"$565,000.00 ",35,No,-87.709064,41.9785526
"2944 W Devon Ave , Chicago, IL 60659",On-Market,"Mixed Use, Multifamily, Retail",2944 W Devon Ave,Chicago,IL,60659,Multi,,,8975,$178.27 ,7,,"$120,000.00 ",7.50%,"$1,600,000.00 ",249,No,-87.7039547,41.9976873
Dollar Tree,On-Market,Retail,11055 S Western Ave,Chicago,IL,60643,Single,10,8.7,15717,$171.64 ,,,"$180,745.00 ",6.70%,"$2,697,687.00 ",174,No,-87.680842,41.6926029
The Southside Gold Portfolio,On-Market,Multifamily,7556 S Eggleston Ave,Chicago,IL,60620,N/A,,,,,212,"$108,656.32 ","$1,979,244.00 ",8.60%,"$23,035,140.00 ",47,Yes,NA,NA
"Full-Floor Luxury Suite 6 East Monroe Street, Suite 300",On-Market,"Multifamily, Office",6 E Monroe St,Chicago,IL,60603,N/A,,,3000,$165.00 ,,,,,"$495,000.00 ",223,No,-87.62778025,41.88074013
MF 14 unit 8 Cap,On-Market,Multifamily,3752 W Huron St,Chicago,IL,60624,N/A,,,12200,,14,,,,"$1,500,000.00 ",361,Yes,-87.7209224,41.8938872
5324 N Kedzie Ave,On-Market,Retail,5324 N Kedzie Ave,Chicago,IL,60625,N/A,,,9000,,,,,,"$695,000.00 ",35,No,-87.7092179,41.9784008
Southside Five Portfolio,On-Market,"Mixed Use, Multifamily",7600 S Kingston Ave,Chicago,IL,60649,N/A,,,146108,,155,,,9.25%,"$15,250,000.00 ",70,Yes,NA,NA
5924 W Lawrence Avenue,On-Market,"Retail, Office, Mixed Use",5924 W Lawrence Avenue,Chicago,IL,60630,Vacant,,,2000,,,,,,"$314,000.00 ",861,No,-87.7758336,41.9678632
2 UNIT RETAIL INVESTMENT IN VIBRANT BUCKTOWN NEIGHBORHOOD,On-Market,Retail,1915 N Damen Ave,Chicago,IL,60647,Multi,,,3160,,2,,"$89,508.00 ",7.80%,"$1,150,000.00 ",108,No,-87.67761122,41.91645944
6501 N Western Avenue,On-Market,Special Purpose,6501 N Western Avenue,Chicago,IL,60645,Vacant,,,,,,,,,"$1,999,000.00 ",340,No,-87.68987985,41.99963033
West Loop Development Opportunity,On-Market,Multifamily,125 S Racine Ave,Chicago,IL,60607,N/A,,,16905,,4,,,,"$3,990,000.00 ",181,No,-87.65704969,41.87928486
3115 N Lincoln Ave,On-Market,"Retail, Mixed Use",3115 N Lincoln Ave,Chicago,IL,60657,N/A,,,3052,$311.27 ,,,,,"$950,000.00 ",3,No,-87.6666544,41.938492
WALGREENS,On-Market,Retail,1533 E 67th St,Chicago,IL,60637,Single,,4.7,14332,$275.00 ,,,"$365,000.00 ",9.25%,"$3,946,000.00 ",6,Yes,-87.5878245,41.7731183
9421 S Stony Is Ave,On-Market,Retail,9421 S Stony Is Ave,Chicago,IL,60617,Vacant,,,3000,,,,,,"$1,700,000.00 ",467,No,-87.5842622,41.7237941
Webster Place,On-Market,Retail,1471 W Webster Ave,Chicago,IL,60614,Multi,,7.9,136130,,,,,,,73,No,-87.66442755,41.92163879
5717 W. Grand Ave,On-Market,"Retail, Industrial, Special Purpose",5717 W. Grand Ave,Chicago,IL,60639,N/A,,,8150,$92.02 ,,,,,"$750,000.00 ",129,No,-87.7690059,41.9190539
CAVA - 15YR Lease - Premier Single-Tenant Retail,On-Market,Retail,1484 N Milwaukee Ave,Chicago,IL,60622,Single,14.3,14.3,3100,,1,,"$214,045.00 ",6.00%,"$3,567,000.00 ",440,No,-87.67515247,41.90888198
2346 S Whipple St,On-Market,Multifamily,2346 S Whipple St,Chicago,IL,60623,N/A,,,5500,$154.55 ,6,"$141,666.67 ","$67,663.00 ",7.96%,"$850,000.00 ",13,No,-87.7017577,41.8486469
7270 S South Shore Dr,On-Market,Multifamily,7270 S South Shore Dr,Chicago,IL,60649,N/A,,,40000,,53,"$137,735.85 ","$569,496.00 ",7.80%,"$7,300,000.00 ",155,No,-87.5610784,41.763986
5710 S. Central Avenue,On-Market,Industrial,5710 S Central Ave,Chicago,IL,60638,N/A,,,4250,$227.06 ,,,,,"$965,000.00 ",70,No,-87.762489,41.788643
Montrose Auto Clinic,On-Market,Retail,5801 W Montrose Ave,Chicago,IL,60634,Vacant,,0,3000,$233.30 ,1,,,0.00%,"$699,900.00 ",783,No,-87.77228858,41.96043473
101 E 134th St,On-Market,Industrial,101 E 134th St,Chicago,IL,60827,N/A,,,,,,,,,"$1,200,000.00 ",462,Yes,-87.619857,41.65166
Former Bristol,On-Market,Retail,2152 N Damen Ave,Chicago,IL,60647,N/A,,,4153,,,,,,"$1,600,000.00 ",104,No,-87.67798893,41.92106212
1455 S Hamlin,On-Market,Multifamily,1455 S Hamlin Ave,Chicago,IL,60623,N/A,,,6250,$76.80 ,6,"$80,000.00 ","$53,962.00 ",11.24%,"$480,000.00 ",664,Yes,-87.7198658,41.8611609
2500 W Chicago Ave,On-Market,Retail,2500 W Chicago Ave,Chicago,IL,60622,N/A,,,17000,,,,,7.20%,"$3,500,000.00 ",73,No,-87.6895897,41.8959053
STNL Fulton Market Retail Condo,On-Market,Retail,657 W Fulton St,Chicago,IL,60661,Single,15.3,8.5,5142,,,,"$218,542.00 ",6.43%,"$3,400,000.00 ",61,No,-87.6454574,41.8865368
4746 S Ashland Ave,On-Market,Retail,4746 S Ashland Ave,Chicago,IL,60609,Single,,,2438,$71.78 ,1,,,,"$175,000.00 ",15,No,-87.66501525,41.80723622
Turn-Key RetailOffice Space for Sale or Lease in Lakeview,On-Market,"Office, Retail",2048 W Belmont Ave Unit 1,Chicago,IL,60618,Vacant,,,1650,,1,,,,"$410,000.00 ",33,No,-87.68022727,41.93954337
"Commercial Condo, Tri-Taylor RetailOffice Storefront",On-Market,Retail,1019 S Western Ave,Chicago,IL,60612,Vacant,,,600,,,,,,"$119,900.00 ",138,No,-87.6858692,41.8688008
2958 N Milwaukee Ave,On-Market,Retail,2958 N Milwaukee Ave,Chicago,IL,60618,Single,,7,45183,,,,,,"$3,000,000.00 ",46,No,-87.71731578,41.93490843
769-775 W. Jackson,On-Market,Retail,769-775 W Jackson Street,Chicago,IL,60661,N/A,,,11522,,4,,"$148,337.00 ",,,133,No,-87.6468208,41.8776723
124 W 47th Street,On-Market,Industrial,124 W 47th St,Chicago,IL,60609,N/A,,,20000,,1,,,,"$425,000.00 ",598,Yes,-87.6293476,41.8093821
Free Standing Retail Building with on Site Parking,On-Market,Retail,6209 W North Ave,Oak Park,IL,60302,Vacant,,,14000,$196.43 ,,,,,"$2,750,000.00 ",280,No,-87.78150256,41.90925922
4457 S Cottage Grove Avenue,On-Market,"Retail, Land",4457 S Cottage Grove Avenue,Chicago,IL,60653,N/A,,,,,0,,,,"$599,000.00 ",19,Yes,-87.6063756,41.8133184
3450 N Troy - Current 7.05 Cap,On-Market,Multifamily,3450 N Troy St,Chicago,IL,60618,N/A,,,5800,$361.21 ,6,"$349,166.67 ","$153,598.00 ",7.33%,"$2,095,000.00 ",134,No,-87.7068507,41.9442681
114 N Aberdeen,On-Market,Mixed Use,114 N Aberdeen St,Chicago,IL,60607,N/A,,,8500,,3,,,,,289,No,-87.65459565,41.88348662
DRIVE GREEN CAR CARE BUILDING,On-Market,"Industrial, Retail, Special Purpose",7737 S Kedzie Ave,Chicago,IL,60652,N/A,,,4700,,1,,,,"$750,000.00 ",122,No,-87.7023175,41.7522538
6232-6238 N Broadway St,On-Market,"Office, Retail",6232 N Broadway,Chicago,IL,60660,N/A,,,,,4,,,,"$625,000.00 ",42,No,-87.66050506,41.99564242
Davis Apartments,On-Market,Multifamily,1025 - 41 W Vermont St,Calumet Park,IL,60827,N/A,,,,,60,,,7.00%,"$5,950,000.00 ",243,No,-87.6426062,41.6617168
178 North Wells Street,On-Market,"Multifamily, Office, Mixed Use",178 N Wells St,Chicago,IL,60606,N/A,,,4500,,,,,,"$1,950,000.00 ",681,No,-87.6330788,41.8853577
6071 S Archer Ave,On-Market,Retail,6071 S Archer Ave,Chicago,IL,60638,N/A,,,13000,$138.00 ,,,,,"$1,650,000.00 ",38,No,-87.7692305,41.79442
West Washington,On-Market,Industrial,1201 W Washington St,West Chicago,IL,60185,N/A,,,11185,,,,,,"$4,500,000.00 ",174,No,-88.2257267,41.8802668
4240-42 S Calumet,On-Market,Multifamily,4240 S Calumet Ave,Chicago,IL,60653,N/A,,,,,6,,"$126,818.00 ",6.50%,"$1,951,000.00 ",62,No,-87.61835827,41.81707541
"Lincoln Park - 1625 N. Halsted St., Chicago, Fmr. Restaurant",On-Market,"Mixed Use, Retail",1625 N Halsted St,Chicago,IL,60614,N/A,,,2019,,5,,,,,96,No,-87.64839788,41.91171405
4750 S Michigan Ave. - Strong Assumable Debt,On-Market,Multifamily,4750 S Michigan Ave,Chicago,IL,60615,N/A,,,31700,$178.23 ,24,"$235,416.67 ","$399,834.00 ",7.08%,"$5,650,000.00 ",36,Yes,-87.6231749,41.8076714
5807 N Lincoln Avenue,On-Market,"Retail, Land",5807 N Lincoln Avenue,Chicago,IL,60659,N/A,,,,,0,,,,"$799,000.00 ",11,No,-87.7013546,41.9871473
State and Wabash Dual Offering,On-Market,"Mixed Use, Multifamily, Office, Retail",2001 S State St,Chicago,IL,60616,Multi,,,,,28,,"$879,608.00 ",,,1505,Yes,-87.6267314,41.855119
526 N Western Ave,On-Market,"Hospitality, Industrial, Land, Office, Special Purpose",526 N Western Ave,Chicago,IL,60612,N/A,,,10500,,1,,,,"$1,800,000.00 ",63,No,-87.68680804,41.89170491
8701 South Ashland,On-Market,Retail,8701 S Ashland Ave,Chicago,IL,60620,N/A,,,5300,$317.15 ,,,,,"$1,680,920.00 ",554,Yes,-87.6628922,41.73573381
"Jack's Corner  Starbucks, Aspen Dental, ATT",On-Market,Retail,5219 Touhy Ave,Chicago,IL,60645,Multi,,6.8,16940,,,,"$679,667.00 ",6.65%,"$10,225,000.00 ",137,No,-87.6926257,42.0105286
55th  Racine,On-Market,"Retail, Land",1158 W Garfield blvd,Chicago,IL,60609,N/A,,,31545,$24.06 ,,,,,"$759,000.00 ",1246,No,-87.6482474,41.8062766
Halsted on the Park,On-Market,Multifamily,2801 S Halsted St,Chicago,IL,60608,N/A,,,,,,,,,,38,No,-87.64644668,41.84339191
United Rentals - Chicago IL,On-Market,Retail,4027 S Wells St,Chicago,IL,60609,Single,5.1,2.8,12000,$352.75 ,,,"$285,711.00 ",6.75%,"$4,233,000.00 ",409,Yes,-87.6323438,41.8210346
2310 - 2340 S. Indiana Avenue,On-Market,"Industrial, Self Storage",2310 S Indiana Ave,Chicago,IL,60616,Vacant,,,282720,,,,,,,1257,Yes,NA,NA
Free-Standing Manufacturing Warehouse  4437-47 W Rice St,On-Market,Industrial,4437 W Rice St,Chicago,IL,60651,Single,,,21978,$52.33 ,,,,,"$1,150,000.00 ",354,Yes,-87.73752597,41.89611019
3850 W Cortland St,On-Market,Industrial,3850 W. Cortland St.,Chicago,IL,60647,Multi,,,144663,$27.65 ,,,,,"$4,000,000.00 ",2764,No,-87.7232981,41.9154926
2556 N Laramie Avenue,On-Market,"Retail, Land",2556 N Laramie Avenue,Chicago,IL,60639,N/A,,,,,0,,,,"$325,000.00 ",217,No,-87.7565018,41.9276434
Davis Building - Edgewater  For Sale or Lease,On-Market,"Retail, Mixed Use",5250 N Broadway,Chicago,IL,60640,Multi,,,14000,$189.29 ,,,,,"$2,650,000.00 ",384,No,-87.6603479,41.9779138
Rainbow Beach Care Center,On-Market,"Senior Living, Special Purpose",7325 S Exchange Ave,Chicago,IL,60649,N/A,,,66000,,93,,,,"$4,900,000.00 ",138,No,-87.56266033,41.76198457
Chicagoland Retail Portfolio at High Cap Rates,On-Market,Retail,10200-10244 S Vincennes Ave,Chicago,IL,60643,N/A,,,,,,,,,,217,Yes,NA,NA
Bank of America Ground Lease 1M 5-Mile Population,On-Market,Retail,3425 W 26th St,Chicago,IL,60623,Single,,5.5,3874,,,,"$312,301.00 ",7.00%,"$4,461,000.00 ",362,No,-87.7106768,41.8442945
525-551 s wells street gateway to chicago,On-Market,Land,525 S Wells St,Chicago,IL,60607,N/A,,,,,,,,,,20,No,-87.6336348,41.87520644
Avondale - Logan Square Prime Land For Sale Chicago IL 60618,On-Market,Land,3942 W Belmont Ave,Chicago,IL,60618,N/A,,,,,,,,,,818,No,NA,NA
11000 Indiana,On-Market,Multifamily,11000 S Indiana Ave,Chicago,IL,60628,N/A,,,3900,$110.26 ,6,"$71,666.67 ","$39,468.00 ",9.18%,"$430,000.00 ",495,Yes,-87.61826193,41.69426027
3735 W. Belmont Ave,On-Market,"Office, Industrial",3735 W. Belmont Ave,Chicago,IL,60618,N/A,,,12000,,,,,,"$1,025,000.00 ",168,No,-87.7211483,41.9389172
