Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Price/SqFt,Units,Price/Unit,NOI,Cap Rate,Asking Price,Days on Market,Opportunity Zone,Longitude,Latitude
2229 South Michigan Ave,On-Market,"Retail, Office, Mixed Use",2229 S Michigan Ave,Chicago,IL,60616,Multi,,,29834,,,,,,,1705,Yes,-87.6233053,41.8520618
"Stabilized, Long-Term Leased Asset  Chicago, IL",On-Market,Special Purpose,2948 W Grand Ave,Chicago,IL,60622,Multi,13,5.2,35233,,2,,"$384,548.00 ",,,440,No,-87.7011539,41.8964304
"1351 W Touhy Ave, Chicago, IL 60626",On-Market,Multifamily,1351 W Touhy Ave,Chicago,IL,60626,N/A,,,,,43,"$169,767.44 ","$467,185.00 ",6.40%,"$7,300,000.00 ",4,No,-87.6655259,42.012608
The Yards Plaza,On-Market,Retail,4500-4700 S. Damen Avenue,Chicago,IL,60609,N/A,,,260481,,,,,,,387,No,-87.6761029,41.8110918
Successful Italian Restaurant in College Town for Sale,On-Market,Retail,N/A,Chicago,IL,N/A,Multi,19,19,3500,,,,,,"$1,600,000.00 ",94,No,NA,NA
Lincoln Park - 4 Unit,On-Market,"Mixed Use, Multifamily",2636 N Lincoln Ave,Chicago,IL,60614,Multi,,,9910,,4,"$568,750.00 ","$144,892.00 ",6.37%,"$2,275,000.00 ",166,No,-87.65493952,41.92988738
3219 N. Clark St  Retail Property,On-Market,"Office, Retail",3219 N Clark St,Chicago,IL,60657,Single,,,6992,$321.80 ,1,,"$190,177.00 ",8.45%,"$2,250,000.00 ",221,No,-87.6508108,41.9405805
"101667. 79 SFR Home Chicago, IL",On-Market,Multifamily,101667. 79 SFR Home,Chicago,IL,60652,N/A,,,112194,$134.00 ,79,"$189,873.00 ","$1,287,821.00 ",8.59%,"$15,000,000.00 ",5,No,-87.7070868,41.7495423
6542 and 6550 N Clark St,On-Market,"Office, Industrial",6542 and 6550 N Clark St,Chicago,IL,60626,N/A,,,,,172,,,,,200,No,-87.6720984,42.00149
222 S. Morgan St,On-Market,Office,222 S. Morgan St,Chicago,IL,60607,Multi,,,36729,,,,,,"$5,000,000.00 ",3106,No,-87.6522193,41.8784046
6553-6555 S. King Drive,On-Market,Multifamily,6553 S King Dr,Chicago,IL,60619,N/A,,,,,24,"$93,750.00 ","$119,578.00 ",5.31%,"$2,250,000.00 ",169,Yes,-87.6154839,41.77501034
Four Level LoungeRestaurant Business with Rooftop for Sale.,On-Market,"Retail, Hospitality",324 W Chicago Ave,Chicago,IL,60654,N/A,,,9600,,1,,,,,217,No,-87.6367746,41.8967074
4536 W Lawrence Ave,On-Market,Industrial,4536 W Lawrence Ave,Chicago,IL,60630,Multi,,,12000,,3,,,,"$1,100,000.00 ",617,No,-87.7428457,41.9683052
3152 W. 111th St. - Hard Corner of 111th  Kedzie,On-Market,Retail,3152 W 111th St,Chicago,IL,60655,Single,,0,2500,,,,"$44,494.00 ",,"$1,200,000.00 ",15,No,-87.70019817,41.6918079
2010-2012 S Wabash Ave,On-Market,"Mixed Use, Multifamily, Retail",2010 S Wabash Ave,Chicago,IL,60616,Multi,,,28674,$108.11 ,8,"$387,500.00 ",,8.80%,"$3,100,000.00 ",1833,No,-87.6260782,41.8549897
The Learning Experience  8.00 Cap Rate,On-Market,Retail,4110 W Peterson Ave,Chicago,IL,60646,Single,8,,9212,$533.00 ,,,"$368,400.00 ",8.00%,"$4,605,000.00 ",137,No,-87.7315814,41.991363
1300 S. Kostner Ave,On-Market,Industrial,1300 S Kostner Ave,Chicago,IL,60623,N/A,,,70000,,,,,,,395,Yes,-87.7361914,41.8637576
6235-6243 N Western Avenue,On-Market,"Retail, Multifamily, Mixed Use",6235 N Western Ave,Chicago,IL,60659,Multi,,,15000,$146.00 ,17,"$128,824.00 ","$171,421.00 ",7.83%,"$2,190,000.00 ",36,No,-87.6896117,41.9951239
21 S Racine Ave,On-Market,Retail,21 S Racine Ave,Chicago,IL,60607,N/A,,,18626,,,,,,,17,No,-87.6564192,41.8809029
Mixed-Use Building For Sale in West Town,On-Market,"Mixed Use, Retail",1911 W Chicago Ave,Chicago,IL,60622,Multi,,,4945,,3,,,,"$1,299,000.00 ",196,No,-87.67506708,41.89596303
670 W Hubbard,On-Market,"Office, Retail",670 W Hubbard St,Chicago,IL,60654,Multi,,,9500,,,,,,,1610,No,-87.6455866,41.8903608
Vacant Owner-UserValue-Add Loop Office Condo  Suite 1500,On-Market,Office,"55 W Wacker Drive, Suite 1500",Chicago,IL,60601,Vacant,,,,,,,,,"$1,410,000.00 ",1043,No,-87.6300102,41.8864753
Retail  Warehouse  Redevelopment Opportunity,On-Market,Retail,4177-4179 & 4181-4193 S. Archer Avenue,Chicago,IL,60632,N/A,,,30250,,,,,,,237,No,-87.69843,41.8172654
"3014 W Irving Park Road, Chicago, IL",On-Market,"Retail, Multifamily, Mixed Use, Special Purpose",3014 W Irving Park Rd,Chicago,IL,60618,Multi,,,7267,$151.37 ,3,,,,"$1,100,000.00 ",1483,No,-87.70373372,41.95391593
West Loop  Fulton Market Office Building Fronting Park,On-Market,Office,112 S Sangamon St,Chicago,IL,60607,Multi,,,31250,,,,,,"$6,750,000.00 ",54,No,-87.65071475,41.87992768
1525-1529 N Milwaukee Avenue,On-Market,Retail,1525 N Milwaukee Ave,Chicago,IL,60622,Multi,,,4461,$599.64 ,2,,"$206,830.00 ",7.73%,"$2,675,000.00 ",1,No,-87.6755127,41.9093969
The Albany Apartments,On-Market,Multifamily,6322 N Albany Ave,Chicago,IL,60659,N/A,,,19000,$172.00 ,24,"$136,250.00 ","$206,720.00 ",6.44%,"$3,270,000.00 ",40,No,-87.70688994,41.99642842
5301-5305 N. Harlem Ave.,On-Market,Retail,5301 N Harlem Ave,Chicago,IL,60656,Single,9.9,4,3234,$371.06 ,,,"$72,526.00 ",6.04%,"$1,200,000.00 ",296,No,-87.80703153,41.97725291
220 North Laflin Street,On-Market,Industrial,220 North Laflin Street,Chicago,IL,60607,Single,,,7906,,,,,,,28,No,-87.6646632,41.886292
2922-44 W 26th St,On-Market,Industrial,2922 W 26th St,Chicago,IL,60623,N/A,,,50000,,,,,,"$3,200,000.00 ",199,No,-87.6987184,41.8447745
Lincoln Park Single-Tenant Restaurant,On-Market,Retail,2577 N Clark St,Chicago,IL,60614,Single,7,5.2,9200,$340.98 ,1,,"$232,694.00 ",7.42%,"$3,137,000.00 ",246,No,-87.6426396,41.9298812
Chatham Plaza 100 Occupied Multi-Tenant Strip,On-Market,Retail,8301 S Holland Rd,Chicago,IL,60620,Multi,,,9610,,4,,"$274,416.00 ",7.75%,"$3,541,000.00 ",60,No,-87.6316535,41.7433075
3800 N Milwaukee Avenue,On-Market,"Industrial, Retail",3800 N Milwaukee Ave,Chicago,IL,60641,Multi,,,128722,,9,,"$1,433,999.00 ",8.21%,"$17,470,000.00 ",14,No,-87.7416291,41.94994081
Chicago Ridge Starbucks,On-Market,Retail,10259 S Harlem Ave,Chicago Ridge,IL,60415,N/A,,,2400,,,,,,"$2,940,000.00 ",49,No,-87.7974547,41.7048513
bartaco,On-Market,Retail,1635 N Damen Ave,Chicago,IL,60647,Single,10,8.1,5824,,,,"$358,750.00 ",,,234,No,-87.6772531,41.9115342
New Wave Laundromat,On-Market,"Business for Sale, Retail",6043 W Addison St,Chicago,IL,60634,Multi,5,2,,,2,,"$205,883.00 ",13.50%,"$1,525,000.00 ",200,No,-87.77836976,41.94574453
Midwest Retail Portfolio,On-Market,Retail,4504 - 4734 Parnell Ave,Fort Wayne,IN,46825,N/A,,,405378,,,,,,,249,Yes,NA,NA
2051 W Division Street,On-Market,"Hospitality, Mixed Use, Retail",2051 W Division St,Chicago,IL,60622,N/A,,,,,,,,,"$1,800,000.00 ",42,No,-87.67926124,41.90298817
"5535 N Wolcott Ave.  Chicago, IL",On-Market,Industrial,5535 N Wolcott Ave,Chicago,IL,60640,N/A,,,36480,$82.10 ,,,,,"$2,995,000.00 ",287,No,-87.6760915,41.982587
2023 W. Fullerton Ave,On-Market,"Retail, Office, Industrial",2023 W. Fullerton Ave,Chicago,IL,60647,N/A,,,9600,,,,,,"$3,000,000.00 ",77,No,-87.6787329,41.9247374
1550 N Green Bay Rd.,On-Market,Office,1550 N Green Bay Rd,North Chicago,IL,60064,Single,,,5400,$212.96 ,1,,,,"$1,150,000.00 ",710,No,-87.8709713,42.3309795
Chicago Gas Station 6.7MLN,On-Market,Retail,6.7 Gas Station,Chicago,IL,60600,N/A,,,,,1,,,,"$6,700,000.00 ",127,No,-87.61857363,41.87054648
South Shore Value-Add  50 units,On-Market,Multifamily,6700 S Merrill Ave,Chicago,IL,60649,N/A,,,40011,,50,"$69,000.00 ",,0.00%,"$3,450,000.00 ",41,Yes,-87.57283353,41.77344194
14 N Sangamon St,On-Market,Office,14 N Sangamon St,Chicago,IL,60607,N/A,,,1154,,,,,,,208,No,-87.6512091,41.8822666
Dollar General,On-Market,Retail,6647 S Western Ave,Chicago,IL,60636,Single,20,5.7,8894,,,,"$131,775.00 ",7.85%,"$1,678,662.00 ",12,Yes,-87.6830245,41.7724393
"Chicago Chop House  60 West Ontario Street, Chicago, IL",On-Market,Retail,60 W Ontario St,Chicago,IL,60654,Single,15,14.4,9565,,1,,,,,166,No,-87.6303902,41.8933385
"1438-1444 W Lake , 220 N Laflin",On-Market,Industrial,220 S Laflin St,Chicago,IL,60607,N/A,,,,,,,,,,28,No,NA,NA
Premier West Town Corner Building  1859 W Chicago Ave,On-Market,"Mixed Use, Multifamily, Retail",1859 W Chicago Ave,Chicago,IL,60622,Multi,,,9267,$302.04 ,7,,"$206,739.00 ",7.40%,"$2,799,000.00 ",336,No,-87.6745786,41.89597512
"101615 . Dynamic Tri-plex BFR Chicago, IL",On-Market,Multifamily,"Bronzeville, Chicago, IL, USA",Chicago,IL,60653,N/A,,,109350,,81,,"$1,922,778.00 ",6.47%,"$29,700,000.00 ",343,No,-87.603826,41.820267
Motor Row  2419-2421 S. Michigan Ave,On-Market,Industrial,2419 S Michigan Ave,Chicago,IL,60616,N/A,,,22929,,2,,,,"$2,100,000.00 ",1315,Yes,-87.6231883,41.8486833
1820 N. Major,On-Market,Industrial,1820 N Major Ave,Chicago,IL,60639,Vacant,,,30000,$43.33 ,,,,,"$1,300,000.00 ",336,No,-87.76805459,41.91314491
2004 W Roscoe,On-Market,Mixed Use,2004 W Roscoe St,Chicago,IL,60618,N/A,,,5047,$237.77 ,3,,"$87,800.00 ",7.32%,"$1,200,000.00 ",41,No,-87.6787998,41.943417
Raising Cane's,On-Market,Retail,820 W Randolph St,Chicago,IL,60607,Single,15,15.2,8780,,1,,,,,0,No,-87.64859473,41.88449458
2950 W 26th St,On-Market,Retail,2950 W 26th St,Chicago,IL,60623,Multi,,,8000,,,,,,"$2,100,000.00 ",283,No,-87.6997458,41.8449245
1219 West Madison Ave,On-Market,"Retail, Office",1219 W Madison Ave,Chicago,IL,60607,N/A,,,12000,,,,,,"$3,750,000.00 ",517,No,-87.6580355,41.8813422
1411 W Taylor St - Current 7.43 Cap,On-Market,"Multifamily, Mixed Use",1411 W Taylor St,Chicago,IL,60607,N/A,,,5400,$425.00 ,5,,"$170,407.00 ",7.43%,"$2,195,000.00 ",148,No,-87.6621396,41.8691234
"Absolute Net NNN Walgreens - Belmont Ave Chicago, IL",On-Market,Retail,3424 W Belmont Ave,Chicago,IL,60618,Single,25,9.6,14490,$502.76 ,1,,"$546,375.00 ",7.50%,"$7,285,000.00 ",334,No,-87.71332697,41.93966758
Chicago Hotel Collection,On-Market,Hospitality,3473 N Clark St,Chicago,IL,60657,N/A,,,15000,,,,"$853,613.00 ",,"$25,000,000.00 ",28,No,-87.654821,41.945474
CubeSmart Self Storage Managed,On-Market,Self Storage,3637 N Central Ave,Chicago,IL,60634,N/A,,,,,,,,,,1,No,-87.7666506,41.9468764
"25,000 SF Developement Site in Rogers Park",On-Market,"Mixed Use, Multifamily, Retail",1520 W Jarvis Ave,Chicago,IL,60626,N/A,,,25300,$110.67 ,,,,,"$2,800,000.00 ",18,No,-87.6689451,42.0161716
La Familia Wellness Center,On-Market,Office,5241 S Cicero Ave,Chicago,IL,60632,Multi,,,6846,,3,,,7.83%,"$775,000.00 ",46,No,-87.7427626,41.79746322
4834-46 S Indiana,On-Market,Multifamily,4834 S Indiana Ave,Chicago,IL,60615,N/A,,,,,23,,"$300,791.00 ",6.40%,"$4,700,000.00 ",62,Yes,-87.62113643,41.80606699
3659 W. Harrison St.,On-Market,Industrial,3659 W Harrison St,Chicago,IL,60624,N/A,,,27229,,,,$0.00 ,,"$1,700,000.00 ",201,Yes,-87.717646,41.8730882
"Lincoln Park2249 N. Lincoln Ave., Chicago, IL, Tobacco Road",On-Market,Retail,2249 N Lincoln Ave,Chicago,IL,60614,N/A,,,4312,,,,,,,193,No,-87.64523165,41.92294878
2432-2434 W Fargo  7434-7438 N Artesian Ave,On-Market,Multifamily,2432-2434 W Fargo & 7434-7438 N Artesian Ave,Chicago,IL,60645,N/A,,,,,12,"$162,500.00 ","$130,926.00 ",6.70%,"$1,950,000.00 ",4,No,-87.6916858,42.0169576
Walgreens,On-Market,Retail,5414 S Archer Ave,Chicago,IL,60638,Single,25,12.3,14160,$541.33 ,,,"$421,587.00 ",5.50%,"$7,665,223.00 ",122,No,-87.74371166,41.79863045
BMO,On-Market,Retail,1614 W 95th St,Chicago,IL,60643,Single,,2.7,3500,,,,,,"$2,745,188.00 ",174,No,-87.663753,41.721617
1521 N Milwaukee Avenue,On-Market,Retail,1521 N Milwaukee Ave,Chicago,IL,60622,Single,23,2.9,10600,$398.58 ,1,,"$324,369.00 ",7.68%,"$4,225,000.00 ",1,No,-87.67558934,41.90915901
University of Illinois Chicago-Anchored Investment,On-Market,Retail,5225 W Madison St,Chicago,IL,60644,N/A,,,20034,$164.72 ,,,"$305,387.00 ",9.25%,"$3,300,000.00 ",594,No,-87.7562119,41.8800936
2843 N. Halsted Street,On-Market,Retail,2843 N Halsted St,Chicago,IL,60657,N/A,,,6400,,,,,,,921,No,-87.6486514,41.9339905
Manhattan Building Condos,On-Market,Retail,423-439 S Dearborn St,Chicago,IL,60605,Multi,,,7098,,6,,"$174,000.00 ",8.00%,"$2,175,000.00 ",512,No,-87.628934,41.876064
